ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income
ABBV,2018,1541000000,32753000000,5197000000,5687000000
ABC,2008,321284000,70189733000,761338000,250559000
ABC,2009,300573000,71759990000,824074000,503397000
ABC,2010,282258000,77776460000,1016162000,636748000
ABC,2011,272471000,78695659000,1117989000,706624000
ABC,2012,252906000,78080806000,1216873000,718986000
ABC,2013,231067000,87959167000,824458000,433707000
ABC,2014,227367000,1.20E+11,669863000,274230000
ABC,2015,217786000,1.36E+11,268964000,-138165000
ABC,2016,212206000,1.47E+11,1390910000,1427929000
ABC,2017,218375000,1.53E+11,917887000,364484000
ABC,2018,217872000,1.68E+11,1177423000,1658405000
ABC,2019,210165000,1.80E+11,967106000,855365000
ABCD,2010,44322000,181260000,-16533000,-15950000
ABCD,2011,46142000,172258000,-49430000,-49441000
ABCD,2012,49395000,148559000,-133511000,-133783000
ABCD,2013,47040000,150520000,-14088000,-14253000
ABCD,2014,45636000,141747000,-9355000,-9955000
ABCD,2015,45550000,144920000,-1132000,-1325000
ABCD,2016,45861000,152358000,10723000,10430000
ABCD,2017,46416000,158184000,15757000,45055000
ABG,2010,32200000,3761400000,57500000,38100000
ABG,2011,31800000,4141400000,75200000,67900000
ABG,2012,31100000,4641800000,133300000,82200000
ABG,2013,30700000,5334900000,165300000,109100000
ABG,2014,29900000,5867700000,183000000,111600000
ABG,2015,26300000,6588300000,273400000,169200000
ABG,2016,22500000,6527800000,267800000,167200000
ABG,2017,20800000,6456500000,209100000,139100000
ABG,2018,20100000,6874400000,224800000,168000000
ABM,2009,51373000,3481823000,84660000,54293000
ABM,2010,52117000,3495747000,104073000,64121000
ABM,2011,53121000,4246842000,105678000,68504000
ABM,2012,54000000,4300300000,92700000,62600000
ABM,2013,54900000,4427800000,98700000,72900000
ABM,2014,56100000,4649700000,110600000,75600000
ABM,2015,56700000,4897800000,72400000,76300000
ABM,2016,56300000,5144700000,51900000,57200000
ABM,2017,57700000,5453600000,86800000,3700000
ABM,2018,66100000,6442200000,87700000,97700000
ABMC,2010,21744768,10421000,-748000,-752000
ABMC,2011,21744768,9272000,-335000,-345000
ABMC,2012,21833003,9343000,-1115000,-1113000
ABMC,2013,22270636,8894000,-786000,-788000
ABMC,2014,23336806,7285000,-488000,-490000
ABMC,2015,25676976,6317000,-331000,-333000
ABMC,2016,27463265,5609000,-341000,-345000
ABMC,2017,29211454,4914000,-545000,-545000
ABMC,2018,30115063,3872000,-1028000,-1030000
ABMD,2010,37167000,101151000,-10863000,-11755000
ABMD,2011,38374000,126375000,2543000,1495000
ABMD,2012,39113000,158124000,16862000,15014000
ABMD,2013,39334000,183643000,8530000,7351000
ABMD,2014,40632000,230311000,28765000,113688000
ABMD,2015,42204000,329543000,65838000,38147000
ABMD,2016,43238000,445304000,91343000,52116000
ABMD,2017,44153000,593749000,160437000,112170000
ABMD,2018,44911000,769432000,263360000,259016000
ABT,2007,1543082000,25914238000,4469648000,3606314000
ABT,2008,1545355000,29527552000,5856286000,4880719000
ABT,2009,1546983000,30764707000,7193774000,5745838000
ABT,2010,1546400000,35166721000,5712834000,4626172000
ABT,2011,1557000000,21407000000,1236000000,4728000000
ABT,2012,1575000000,19050000000,-220000000,5963000000
ABT,2013,1558000000,19657000000,2041000000,2576000000
ABT,2014,1516000000,20247000000,2518000000,2284000000
ABT,2015,1496000000,20405000000,3183000000,4423000000
ABT,2016,1477000000,20853000000,1413000000,1400000000
ABT,2017,1740000000,27390000000,2231000000,477000000
ABT,2018,1758000000,30578000000,2873000000,2368000000
AC,2014,25335000,21029000,-382000,3000000
AC,2015,24887000,22842000,-2576000,-111000
AC,2016,24870000,31227000,14345000,10218000
AC,2017,23792000,26915000,6264000,8837000
AC,2018,23070000,22779000,-68861000,-58099000
ACA,2017,48800000,1462400000,130100000,89700000
ACA,2018,48800000,1460400000,95000000,75700000
ACAD,2010,38593000,42135000,15139000,15139000
ACAD,2011,52183000,2067000,-22765000,-22765000
ACAD,2012,55116000,4907000,-20849000,-20849000
ACAD,2013,85715000,1145000,-37948000,-37948000
ACAD,2014,97248000,120000,-92475000,-92475000
ACAD,2015,100630000,61000,-164113000,-164443000
ACAD,2016,115858000,17331000,-270052000,-271393000
ACAD,2017,122600000,124901000,-288284000,-289403000
ACAD,2018,126583000,223807000,-243936000,-245192000
ACAT,2010,18232000,464651000,18231000,13007000
ACAT,2011,16721000,585268000,45968000,29941000
ACAT,2012,13155000,671588000,60679000,39745000
ACAT,2013,13275000,730491000,60404000,39404000
ACAT,2014,12926000,698756000,6210000,4920000
