ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid
ABT,2016,1477000000,20853000000,1413000000,1400000000,26776000000,52666000000,1325000000,6660000000,20681000000,31949000000,25565000000,3203000000,-1539000000
ABT,2017,1740000000,27390000000,2231000000,477000000,20147000000,76250000000,714000000,8912000000,27210000000,45152000000,23978000000,5570000000,-1849000000
ABT,2018,1758000000,30578000000,2873000000,2368000000,14632000000,67173000000,207000000,9012000000,19359000000,36451000000,24560000000,6300000000,-1974000000
AC,2014,25335000,21029000,-382000,3000000,585079000,754694000,,102131000,0,102131000,0,-58642000,
AC,2015,24887000,22842000,-2576000,-111000,274613000,836748000,,78332000,-250000000,-171668000,2072000,-47350000,0
AC,2016,24870000,31227000,14345000,10218000,337988000,952603000,,74351000,-100000000,-25649000,7327000,6588000,-2504000
AC,2017,23792000,26915000,6264000,8837000,349598000,1006915000,,42538000,-50000000,-7462000,13800000,-67620000,-4768000
AC,2018,23070000,22779000,-68861000,-58099000,439896000,954433000,,38385000,,38385000,-39889000,76980000,-4666000
ACA,2017,48800000,1462400000,130100000,89700000,428800000,1602500000,100000,174100000,400000,194600000,0,162000000,
ACA,2018,48800000,1460400000,95000000,75700000,667000000,2172200000,1800000,234200000,183700000,487700000,19500000,118500000,
ACAD,2010,38593000,42135000,15139000,15139000,37849000,38394000,78000,5959000,,8706000,-324106000,-10703000,
ACAD,2011,52183000,2067000,-22765000,-22765000,31949000,32114000,32000,6165000,,8752000,-346871000,-19897000,
ACAD,2012,55116000,4907000,-20849000,-20849000,108548000,108590000,,5948000,,23606000,-367720000,-21633000,
ACAD,2013,85715000,1145000,-37948000,-37948000,188360000,189118000,,6979000,,6987000,-405668000,-31769000,
ACAD,2014,97248000,120000,-92475000,-92475000,324618000,325458000,,15834000,,15969000,-498143000,-66434000,
ACAD,2015,100630000,61000,-164113000,-164443000,218989000,221896000,,21902000,,22134000,-662586000,-121795000,
ACAD,2016,115858000,17331000,-270052000,-271393000,547897000,561153000,,42585000,,42742000,-933979000,-208408000,
ACAD,2017,122600000,124901000,-288284000,-289403000,373477000,384506000,,49030000,,49221000,-1223671000,-217757000,
ACAD,2018,126583000,223807000,-243936000,-245192000,526106000,540202000,,59565000,,61123000,-1468863000,-167470000,
ACAT,2010,18232000,464651000,18231000,13007000,232040000,272906000,,87444000,,89870000,177493000,-5123000,
ACAT,2011,16721000,585268000,45968000,29941000,212860000,255416000,,114035000,,116944000,127816000,100729000,0
ACAT,2012,13155000,671588000,60679000,39745000,259344000,306145000,,127292000,,131673000,167561000,32684000,
ACAT,2013,13275000,730491000,60404000,39404000,285296000,342294000,,148541000,,157251000,187024000,44179000,-5317000
ACAT,2014,12926000,698756000,6210000,4920000,245964000,315411000,,122089000,,135039000,185444000,59701000,-6500000
ACAT,2015,12995000,632895000,-17047000,-9187000,211818000,304701000,,124030000,,137310000,171340000,19123000,-4917000
ACCO,2010,54800000,1284600000,38500000,12400000,620700000,1149600000,200000,327900000,727400000,1229400000,-1393900000,54900000,
ACCO,2011,55200000,1318400000,42900000,56700000,622900000,1116700000,200000,306100000,668800000,1178600000,-1337200000,61800000,
ACCO,2012,94100000,1758500000,-4400000,115400000,874300000,2507700000,100000,429400000,1070800000,1868500000,-1221800000,-7500000,
ACCO,2013,113500000,1765100000,91700000,77100000,841700000,2382900000,100000,445100000,920800000,1680600000,-1144700000,194500000,
